"trial","ref_position","var_area","response","correct","rt"
1,"R",13.356406820938,"R",FALSE,0.289999961853027
2,"L",11.7371046743356,"R",TRUE,0.688999891281128
3,"L",14.9083948724438,"R",TRUE,0.282999992370605
4,"L",14.5138305199798,"R",TRUE,0.138999938964844
5,"L",11.7308056515176,"R",TRUE,0.28600001335144
6,"L",13.9210435654968,"R",TRUE,0.296000003814697
7,"R",11.1322867453564,"R",FALSE,0.0899999141693115
8,"L",12.2060385236982,"R",TRUE,0.286999940872192
9,"L",8.18634309922345,"R",FALSE,0.196999788284302
10,"L",14.559012284968,"R",TRUE,0.188999891281128
11,"R",12.6628269774374,"R",FALSE,0.183000087738037
12,"R",13.3272436324041,"R",FALSE,0.195000171661377
13,"L",13.6812256264966,"R",TRUE,0.279999971389771
14,"L",8.16089239832945,"R",FALSE,0.153000116348267
15,"L",8.65444844868034,"R",FALSE,0.18999981880188
16,"L",13.5416263472289,"R",TRUE,0.273000001907349
17,"R",9.59040633728728,"R",FALSE,0.266000032424927
18,"R",9.20472958008759,"R",FALSE,0.192000150680542
19,"L",14.5897768135183,"R",TRUE,0.103999853134155
20,"L",11.7230966191273,"R",TRUE,0.285999774932861
21,"R",9.37766558560543,"R",FALSE,0.205999851226807
22,"L",12.599069786258,"R",TRUE,0.131999969482422
23,"L",11.0358374684583,"R",TRUE,0.290999889373779
